acc	uar	f1
0.7767	0.7641	0.7633
0.7725	0.6925	0.7160
0.6955	0.5981	0.6263
0.8271	0.7814	0.7956
0.6350	0.6699	0.6428
0.7922	0.6741	0.6551
0.7863	0.7691	0.7714
0.6995	0.6692	0.6864
0.7351	0.7327	0.7183
0.7412	0.7474	0.7333
0.7247	0.6862	0.7019
0.6625	0.6189	0.6409
0.7374	0.7003	0.7043
