acc	uar	f1
1.3922	0.2908	0.5954
1.3420	0.0256	0.6171
1.2408	0.3048	0.6631
1.3188	0.2268	0.5919
1.1921	0.1206	0.5921
1.3714	0.0685	0.5740
1.3488	0.1381	0.5314
1.3346	0.1882	0.5824
1.5305	0.0426	0.5599
1.3987	-0.2187	0.4656
1.3470	0.1187	0.5773
