acc	uar	f1
1.4257	0.2697	0.5760
1.3436	-0.0015	0.6330
1.2564	0.2558	0.6249
1.3308	0.2140	0.5636
1.1932	0.1053	0.6628
1.3690	0.1423	0.6486
1.3430	0.1298	0.5986
1.3363	0.1782	0.5899
1.5237	0.0500	0.5574
1.4132	-0.1702	0.5215
1.3535	0.1173	0.5976
