acc	uar	f1
0.9610	0.6969	0.8070
0.8806	0.7238	0.8121
0.8767	0.6794	0.7965
0.8037	0.7453	0.8015
0.8757	0.6353	0.7725
0.9129	0.6739	0.7518
0.9775	0.6289	0.7841
0.9301	0.6615	0.7649
1.1364	0.6303	0.7862
1.0257	0.5799	0.7478
0.9380	0.6655	0.7824
