acc	uar	f1
1.4375	0.2839	0.5807
1.3410	0.0328	0.6379
1.2715	0.1992	0.5986
1.3300	0.1760	0.6777
1.1917	0.1156	0.6623
1.3723	0.0039	0.6360
1.3431	0.1304	0.6440
1.3567	0.0970	0.5573
1.5302	0.0273	0.5523
1.4033	-0.2161	0.4502
1.3577	0.0850	0.5997
