acc	uar	f1
0.7902	0.7038	0.8032
0.8125	0.7015	0.8194
0.8170	0.7562	0.8184
0.8080	0.6716	0.8321
0.7991	0.6801	0.8140
0.7679	0.6051	0.7798
0.8036	0.6134	0.8028
0.8170	0.6723	0.8329
0.7768	0.6096	0.7916
0.7946	0.6862	0.8160
0.7987	0.6700	0.8110
