acc	uar	f1
0.6158	0.6528	0.6128
0.6269	0.6663	0.6311
0.6802	0.6879	0.6779
0.6421	0.6909	0.6507
0.6229	0.6178	0.6159
0.6100	0.6078	0.6128
0.6843	0.6552	0.6483
0.6799	0.6410	0.6391
0.6483	0.6695	0.6476
0.6505	0.6417	0.6344
0.6461	0.6531	0.6371
