acc	uar	f1
0.5587	0.5672	0.5391
0.5709	0.5469	0.5432
0.5385	0.5351	0.5175
0.5203	0.5527	0.5094
0.4502	0.4536	0.4440
0.4785	0.4824	0.4784
0.5511	0.4941	0.4895
0.5814	0.5128	0.5133
0.5390	0.5910	0.5009
0.5499	0.4710	0.4642
0.5338	0.5207	0.5000
