acc	uar	f1
0.6989	0.7444	0.6942
0.7163	0.7659	0.7301
0.7942	0.8064	0.8007
0.7417	0.7923	0.7638
0.7510	0.7429	0.7468
0.6995	0.6972	0.7056
0.7992	0.7860	0.7728
0.7860	0.7587	0.7542
0.7254	0.7323	0.7305
0.7220	0.7374	0.7218
0.7434	0.7564	0.7421
