acc	uar	f1
0.5777	0.6033	0.5814
0.6786	0.7109	0.6912
0.7318	0.7440	0.7309
0.7048	0.7333	0.7123
0.6648	0.6638	0.6657
0.6486	0.6431	0.6494
0.6837	0.6972	0.6579
0.7008	0.6825	0.6591
0.6508	0.6499	0.6492
0.6836	0.7013	0.6836
0.6725	0.6829	0.6681
