acc	uar	f1
0.6174	0.6404	0.6047
0.6768	0.7079	0.6903
0.7318	0.7394	0.7330
0.7085	0.7391	0.7193
0.6207	0.6363	0.6215
0.6598	0.6596	0.6596
0.6799	0.6710	0.6454
0.6970	0.6904	0.6670


