acc	uar	f1
0.7857	0.7150	0.8085
0.8259	0.6941	0.8291
0.8348	0.7319	0.8369
0.7812	0.6433	0.8020
0.7991	0.6785	0.8092
0.7455	0.5822	0.7655
0.7812	0.6455	0.7980
0.7857	0.6466	0.7954
0.7946	0.6249	0.8131
0.8170	0.7065	0.8358
0.7951	0.6669	0.8094
