acc	uar	f1
0.5492	0.6062	0.5313
0.4973	0.5750	0.4971
0.6237	0.6369	0.6310
0.5849	0.5965	0.5985
0.5421	0.5308	0.5348
0.5310	0.5304	0.5207
0.6250	0.5850	0.5781
0.6193	0.5927	0.5868
0.5525	0.5534	0.5224
0.5515	0.5876	0.5616
0.5676	0.5795	0.5562
