acc	uar	f1
0.6420	0.6958	0.6219
0.5673	0.6400	0.5717
0.6798	0.6831	0.6792
0.6531	0.6880	0.6630
0.6130	0.6141	0.6144
0.6169	0.6122	0.6217
0.6970	0.6317	0.6349
0.6686	0.6164	0.6250
0.7237	0.7325	0.7161
0.6467	0.6504	0.6364
0.6508	0.6564	0.6384
