acc	uar	f1
0.6266	0.6614	0.6127
0.6272	0.6673	0.6332
0.6878	0.6914	0.6868
0.6688	0.6945	0.6747
0.6057	0.6140	0.6024
0.6055	0.6072	0.6089
0.6777	0.6456	0.6407
0.6777	0.6451	0.6424
0.6672	0.6675	0.6608
0.6528	0.6531	0.6360
0.6497	0.6547	0.6399
