acc	uar	f1
0.6856	0.7124	0.6710
0.7558	0.7781	0.7619
0.7609	0.7647	0.7572
0.7528	0.7927	0.7586
0.6648	0.6834	0.6572
0.6836	0.6852	0.6804
0.7367	0.7205	0.6994
0.7311	0.7150	0.7001
0.7407	0.7527	0.7311
0.7220	0.7333	0.7024
0.7234	0.7338	0.7119
