acc	uar	f1
0.7723	0.6425	0.7806
0.7634	0.5856	0.7685
0.7991	0.6209	0.7968
0.6964	0.4832	0.7258
0.7545	0.5247	0.7621
0.7634	0.5712	0.7814
0.7366	0.5283	0.7435
0.7411	0.5946	0.7521
0.7723	0.5711	0.8064
0.7902	0.6299	0.8032
0.7589	0.5752	0.7720
